epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,572.2,1.17563,1.87093,0.92856,1.21445,0.63466,0.67164,0.64864,0.37655,0.66015,0.69652,0.6711,0.36642,1.51171,2.78779,1.23183,1.43696,0.0016172,0.0016172,0.0016172
31,590.743,1.12343,1.82986,0.90619,1.19401,0.62679,0.60199,0.62538,0.34793,0.61064,0.58706,0.59751,0.32475,1.58366,2.73062,1.45475,1.51533,0.001604,0.001604,0.001604
32,609.341,1.1454,1.80867,0.93482,1.2008,0.69277,0.58706,0.68203,0.40491,0.69277,0.58706,0.68486,0.37716,1.44937,2.62263,1.27715,1.41325,0.0015908,0.0015908,0.0015908
33,629.034,1.13893,1.84443,0.89781,1.18233,0.61488,0.58209,0.61526,0.35902,0.56288,0.61504,0.59379,0.32199,1.53911,2.76292,1.31658,1.46991,0.0015776,0.0015776,0.0015776
34,647.597,1.14176,1.82511,0.91137,1.17895,0.74673,0.55741,0.66729,0.3631,0.70397,0.60338,0.6777,0.34417,1.54582,2.91608,1.37668,1.48809,0.0015644,0.0015644,0.0015644
35,665.868,1.13583,1.82832,0.89681,1.19451,0.74837,0.60666,0.6695,0.37052,0.74837,0.60666,0.66333,0.35852,1.54105,2.65194,1.31493,1.4594,0.0015512,0.0015512,0.0015512
36,685.472,1.1112,1.76445,0.86683,1.15911,0.68489,0.62189,0.65698,0.37,0.69977,0.58706,0.65539,0.34415,1.52899,2.8372,1.32925,1.48613,0.001538,0.001538,0.001538
37,703.901,1.09116,1.77371,0.86537,1.17451,0.69421,0.58209,0.6071,0.36594,0.69213,0.58209,0.60706,0.34913,1.53047,2.98618,1.40172,1.47426,0.0015248,0.0015248,0.0015248
38,722.782,1.08092,1.69778,0.8198,1.15054,0.63068,0.63682,0.62901,0.37732,0.63068,0.63682,0.63731,0.36888,1.50717,2.77399,1.40901,1.46061,0.0015116,0.0015116,0.0015116
39,741.915,1.08706,1.76741,0.85796,1.16099,0.683,0.64179,0.69148,0.40883,0.67551,0.68657,0.70889,0.40852,1.47738,2.8062,1.24007,1.41674,0.0014984,0.0014984,0.0014984
40,760.816,1.07804,1.70195,0.83297,1.14483,0.68537,0.63682,0.64317,0.37424,0.7048,0.65174,0.65468,0.35418,1.51753,2.77476,1.37274,1.46525,0.0014852,0.0014852,0.0014852
41,780.75,1.05121,1.67431,0.80097,1.1353,0.58643,0.70647,0.6634,0.40188,0.66526,0.64677,0.68209,0.38747,1.50886,2.80687,1.27071,1.515,0.001472,0.001472,0.001472
42,799.432,1.07143,1.75541,0.8375,1.15028,0.69711,0.66414,0.71801,0.41342,0.67994,0.67643,0.70883,0.39,1.4913,2.7069,1.21191,1.42803,0.0014588,0.0014588,0.0014588
43,818.006,1.0533,1.70663,0.80808,1.13623,0.65542,0.64179,0.64214,0.39181,0.69321,0.66325,0.67097,0.37347,1.46063,2.68692,1.41849,1.40981,0.0014456,0.0014456,0.0014456
44,837.535,1.05736,1.71776,0.80333,1.14171,0.71012,0.62687,0.65346,0.3595,0.70959,0.65644,0.67944,0.3491,1.55573,2.95073,1.26496,1.47643,0.0014324,0.0014324,0.0014324
